Bacteria	Proteobacteria	Deltaproteobacteria	Desulfurellales	24
Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	44
Bacteria	Proteobacteria	Deltaproteobacteria	Myxococcales	25
Bacteria	Proteobacteria	Deltaproteobacteria	Syntrophobacterales	10
Bacteria	Proteobacteria	Deltaproteobacteria	Unclassified Deltaproteobacteria	33
Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	26
Bacteria	Proteobacteria	Epsilonproteobacteria	Nautiliales	4
Bacteria	Proteobacteria	Epsilonproteobacteria	Unclassified Epsilonproteobacteria	7
Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	27
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	24
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	25
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	309
Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	92
Bacteria	Proteobacteria	Gammaproteobacteria	HdN1	1
Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	31
Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	69
Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	64
Bacteria	Proteobacteria	Gammaproteobacteria	Order Incertae Sedis	11
Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	12
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	70
Bacteria	Proteobacteria	Gammaproteobacteria	Salinisphaerales	2
Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	8
Bacteria	Proteobacteria	Gammaproteobacteria	Unclassified Gammaproteobacteria	562
Bacteria	Proteobacteria	Gammaproteobacteria	Vibrionales	29
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	1142
Bacteria	Proteobacteria	Unclassified Proteobacteria		1381
Bacteria	Spirochaetes	Spirochaetes	Candidatus Cloacamonas	2
Bacteria	Spirochaetes	Spirochaetes	Spirochaetales	58
Bacteria	Spirochaetes	Unclassified Spirochaetes		6
Bacteria	Synergistetes	Synergistia	Synergistales	17
Bacteria	Tenericutes	Mollicutes	Acholeplasmatales	2
Bacteria	Tenericutes	Mollicutes	Entomoplasmatales	2
Bacteria	Tenericutes	Mollicutes	Mycoplasmatales	15
Bacteria	Tenericutes	Mollicutes	Unclassified Mollicutes	2
Bacteria	Thermodesulfobacteria	Thermodesulfobacteria	Thermodesulfobacteriales	1
Bacteria	Thermotogae	Thermotogae	Thermotogales	11
Bacteria	Unclassified Bacteria			1211
Bacteria	Verrucomicrobia	Candidatus Methylacidiphilum	Methylacidiphilum infernorum V4	1
Bacteria	Verrucomicrobia	Candidatus Pedosphaera	Oikopleura dioica	3
Bacteria	Verrucomicrobia	Candidatus Pedosphaera	Pedosphaera parvula Ellin514	4
Bacteria	Verrucomicrobia	Opitutae	Opitutales	95
Bacteria	Verrucomicrobia	Opitutae	Puniceicoccales	1
Bacteria	Verrucomicrobia	Opitutae	Unclassified Opitutae	11
Bacteria	Verrucomicrobia	Spartobacteria	Chthoniobacterales	5
Bacteria	Verrucomicrobia	Unclassified Verrucomicrobia		12
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	36
Chloroplast	Unclassified Chloroplast			50
Eukaryota	Alveolata	Apicomplexa	Aconoidasida	6
Eukaryota	Alveolata	Unclassified Alveolata		1
Eukaryota	Fungi	Dikarya	Unclassified Dikarya	2
Eukaryota	Fungi	Unclassified Fungi		3
Eukaryota	Haptophyceae	Unclassified Haptophyceae		2
Eukaryota	Metazoa	Annelida	Polychaeta	1
Eukaryota	Metazoa	Cnidaria	Anthozoa	1
Eukaryota	Metazoa	Cnidaria	Hydrozoa	1
Eukaryota	Metazoa	Nematoda	Chromadorea	3
Eukaryota	Metazoa	Platyhelminthes	Turbellaria	4
Eukaryota	Metazoa	Rotifera	Monogononta	1
Eukaryota	Metazoa	Unclassified Metazoa		5
Eukaryota	Rhodophyta	Bangiophyceae	Cyanidiales	1
Eukaryota	Unclassified Eukaryota			20
Eukaryota	Unikonta	Amoebozoa	Tubulinea	5
Eukaryota	Viridiplantae	Chlorophyta	Chlorophyceae	2
Eukaryota	Viridiplantae	Chlorophyta	Unclassified Chlorophyta	2
Eukaryota	Viridiplantae	Streptophyta	Embryophyta	1
Eukaryota	Viridiplantae	Unclassified Viridiplantae		1
Mitochondria				3
Mitochondria	Unclassified Mitochondria			25
Unknown				147
